iter	Passed	Remaining
838	86654	16628
839	86778	16529
840	86893	16428
841	87011	16327
842	87129	16226
843	87248	16126
844	87410	16033
845	87534	15934
846	87655	15833
847	87780	15734
848	87904	15634
849	88023	15533
850	88139	15432
851	88265	15332
852	88400	15234
853	88559	15140
854	88712	15044
855	88824	14942
856	88933	14839
857	89071	14741
858	89178	14638
859	89289	14535
860	89392	14431
861	89490	14326
862	89588	14222
863	89695	14118
864	89803	14015
865	89922	13914
866	90049	13813
867	90174	13713
868	90292	13611
869	90413	13510
870	90541	13409
871	90666	13308
872	90772	13205
873	90896	13104
874	91020	13002
875	91112	12897
876	91212	12792
877	91306	12687
878	91401	12581
879	91511	12478
880	91606	12373
881	91714	12270
882	91828	12167
883	91946	12065
884	92066	11963
885	92196	11862
886	92316	11760
887	92444	11659
888	92554	11556
889	92669	11453
890	92760	11347
891	92855	11242
892	92955	11138
893	93055	11033
894	93151	10928
895	93283	10827
896	93383	10722
897	93480	10618
898	93585	10514
899	93692	10410
900	93790	10305
901	93886	10200
902	93983	10095
903	94078	9990
904	94180	9886
905	94276	9781
906	94410	9680
907	94531	9578
908	94655	9475
909	94776	9373
910	94881	9269
911	95000	9166
912	95128	9064
913	95236	8960
914	95327	8855
915	95418	8750
916	95500	8644
917	95608	8540
918	95719	8436
919	95828	8332
920	95937	8229
921	96035	8124
922	96132	8019
923	96223	7914
924	96326	7810
925	96423	7705
926	96522	7601
927	96634	7497
928	96766	7395
929	96873	7291
930	96974	7187
931	97063	7081
932	97164	6977
933	97255	6872
934	97371	6769
935	97490	6666
936	97611	6563
937	97732	6459
938	97880	6358
939	98027	6257
940	98142	6153
941	98252	6049
942	98355	5945
943	98464	5841
944	98563	5736
945	98679	5632
946	98769	5527
947	98867	5423
948	98964	5318
949	99083	5214
950	99205	5111
951	99312	5007
952	99432	4903
953	99543	4799
954	99651	4695
955	99762	4591
956	99852	4486
957	99945	4381
958	100075	4278
959	100225	4176
960	100375	4073
961	100486	3969
962	100606	3865
963	100732	3761
964	100841	3657
965	100956	3553
966	101065	3448
967	101168	3344
968	101263	3239
969	101364	3134
970	101478	3030
971	101587	2926
972	101704	2822
973	101823	2718
974	101938	2613
975	102054	2509
976	102162	2405
977	102277	2300
978	102389	2196
979	102529	2092
980	102706	1989
981	102809	1884
982	102896	1779
983	102992	1674
984	103089	1569
985	103187	1465
986	103284	1360
987	103395	1255
988	103517	1151
989	103637	1046
990	103807	942
991	103930	838
992	104042	733
993	104157	628
994	104258	523
995	104345	419
996	104450	314
997	104601	209
998	104715	104
999	104807	0
